          #r                      g1                      g12
  0.1337360000000000E+00  0.2092362947913069E+01  0.1864090624563974E+00
  0.1377280000000000E+00  0.2044334795983372E+01  0.1860189977422924E+00
  0.1417200000000000E+00  0.1997448709283335E+01  0.1856024165655305E+00
  0.1457120000000000E+00  0.1951677715030921E+01  0.1851597258866367E+00
  0.1497040000000000E+00  0.1906995480919759E+01  0.1846913648543561E+00
  0.1536960000000000E+00  0.1863376216103115E+01  0.1841978041067573E+00
  0.1576880000000000E+00  0.1820794608806717E+01  0.1836795435100888E+00
  0.1616800000000000E+00  0.1779225793506309E+01  0.1831371088256943E+00
  0.1656720000000000E+00  0.1738645340022231E+01  0.1825710477365690E+00
  0.1696640000000000E+00  0.1699029257399514E+01  0.1819819255822844E+00
  0.1736560000000000E+00  0.1660354006436151E+01  0.1813703210746140E+00
  0.1776480000000000E+00  0.1622596516004734E+01  0.1807368221970354E+00
  0.1816400000000000E+00  0.1585734199613616E+01  0.1800820224160062E+00
  0.1856320000000000E+00  0.1549744969813010E+01  0.1794065172997220E+00
  0.1896240000000000E+00  0.1514607249041925E+01  0.1787109015751428E+00
  0.1936160000000000E+00  0.1480299976273535E+01  0.1779957666421617E+00
  0.1976080000000000E+00  0.1446802609390661E+01  0.1772616985313450E+00
  0.2016000000000000E+00  0.1414095123565869E+01  0.1765092762789073E+00
  0.2055920000000000E+00  0.1382158006188665E+01  0.1757390706829801E+00
  0.2095840000000000E+00  0.1350972248953049E+01  0.1749516433997952E+00
  0.2135760000000000E+00  0.1320519337765823E+01  0.1741475463328861E+00
  0.2175680000000000E+00  0.1290781241110399E+01  0.1733273212773394E+00
  0.2215600000000000E+00  0.1261740397409206E+01  0.1724914997691188E+00
  0.2255520000000000E+00  0.1233379701864479E+01  0.1716406031080636E+00
  0.2295440000000000E+00  0.1205682493164465E+01  0.1707751425102243E+00
  0.2335360000000000E+00  0.1178632540325753E+01  0.1698956193669699E+00
  0.2375280000000000E+00  0.1152214029905368E+01  0.1690025255714751E+00
  0.2415200000000000E+00  0.1126411553690675E+01  0.1680963438979681E+00
  0.2455120000000000E+00  0.1101210096962741E+01  0.1671775484075996E+00
  0.2495040000000000E+00  0.1076595027343245E+01  0.1662466048654541E+00
  0.2534960000000000E+00  0.1052552084229134E+01  0.1653039711528491E+00
  0.2574880000000000E+00  0.1029067368765449E+01  0.1643500976678200E+00
  0.2614800000000000E+00  0.1006127334322261E+01  0.1633854277013918E+00
  0.2654720000000000E+00  0.9837187773991568E+00  0.1624103977847463E+00
  0.2694640000000000E+00  0.9618288289074167E+00  0.1614254380027855E+00
  0.2734560000000000E+00  0.9404449457686894E+00  0.1604309722738127E+00
  0.2774480000000000E+00  0.9195549027751847E+00  0.1594274185885058E+00
  0.2814400000000000E+00  0.8991467846620628E+00  0.1584151892150564E+00
  0.2854320000000000E+00  0.8792089783647512E+00  0.1573946908654496E+00
  0.2894240000000000E+00  0.8597301654236537E+00  0.1563663248284163E+00
  0.2934160000000000E+00  0.8406993145184245E+00  0.1553304870674855E+00
  0.2974080000000000E+00  0.8221056741264169E+00  0.1542875682915952E+00
  0.3014000000000000E+00  0.8039387652784384E+00  0.1532379539960088E+00
  0.3053920000000000E+00  0.7861883744415271E+00  0.1521820244793843E+00
  0.3093840000000000E+00  0.7688445465069430E+00  0.1511201548399921E+00
  0.3133760000000000E+00  0.7518975778894124E+00  0.1500527149532764E+00
  0.3173680000000000E+00  0.7353380097668906E+00  0.1489800694324733E+00
  0.3213600000000000E+00  0.7191566214396824E+00  0.1479025775799023E+00
  0.3253520000000000E+00  0.7033444238450551E+00  0.1468205933256150E+00
  0.3293440000000000E+00  0.6878926532078490E+00  0.1457344651607192E+00
  0.3333360000000000E+00  0.6727927648549716E+00  0.1446445360637174E+00
  0.3373280000000000E+00  0.6580364271901461E+00  0.1435511434274718E+00
  0.3413200000000000E+00  0.6436155158314397E+00  0.1424546189832737E+00
  0.3453120000000000E+00  0.6295221079204320E+00  0.1413552887243785E+00
  0.3493040000000000E+00  0.6157484765939714E+00  0.1402534728371568E+00
  0.3532960000000000E+00  0.6022870856370481E+00  0.1391494856306335E+00
  0.3572880000000000E+00  0.5891305842888315E+00  0.1380436354741731E+00
  0.3612800000000000E+00  0.5762718022275107E+00  0.1369362247405454E+00
  0.3652720000000000E+00  0.5637037447088483E+00  0.1358275497531653E+00
