         #eta                 varrho1                 varrho2
  0.1750000000000000E-02  0.9163956765437483E-02  0.2710330447640710E+01
  0.1760000000000000E-02  0.9163956716125235E-02  0.2710329096381637E+01
  0.1770000000000000E-02  0.9163956666570350E-02  0.2710327737424791E+01
  0.1780000000000000E-02  0.9163956616715953E-02  0.2710326370768001E+01
  0.1790000000000000E-02  0.9163956566606166E-02  0.2710324996412813E+01
  0.1800000000000000E-02  0.9163956516127222E-02  0.2710323614359472E+01
  0.1810000000000000E-02  0.9163956465475340E-02  0.2710322224607486E+01
  0.1820000000000000E-02  0.9163956414441576E-02  0.2710320827156977E+01
  0.1830000000000000E-02  0.9163956363165013E-02  0.2710319422006876E+01
  0.1840000000000000E-02  0.9163956311532237E-02  0.2710318009158840E+01
  0.1850000000000000E-02  0.9163956259700852E-02  0.2710316588610908E+01
  0.1860000000000000E-02  0.9163956207626941E-02  0.2710315160365894E+01
  0.1870000000000000E-02  0.9163956155240590E-02  0.2710313724422112E+01
  0.1880000000000000E-02  0.9163956102554773E-02  0.2710312280779533E+01
  0.1890000000000000E-02  0.9163956049613644E-02  0.2710310829437958E+01
  0.1900000000000000E-02  0.9163955996360242E-02  0.2710309370397605E+01
  0.1910000000000000E-02  0.9163955942933542E-02  0.2710307903659138E+01
  0.1920000000000000E-02  0.9163955889068582E-02  0.2710306429222754E+01
  0.1930000000000000E-02  0.9163955835087192E-02  0.2710304947087309E+01
  0.1940000000000000E-02  0.9163955780780763E-02  0.2710303457253038E+01
  0.1950000000000000E-02  0.9163955726061185E-02  0.2710301959720255E+01
  0.1960000000000000E-02  0.9163955671098772E-02  0.2710300454489337E+01
  0.1970000000000000E-02  0.9163955615937984E-02  0.2710298941560505E+01
  0.1980000000000000E-02  0.9163955560521918E-02  0.2710297420932041E+01
  0.1990000000000000E-02  0.9163955504692504E-02  0.2710295892605122E+01
  0.2000000000000000E-02  0.9163955448594985E-02  0.2710294356580524E+01
  0.5992000000000000E-02  0.9163910635726781E-02  0.2709066452631684E+01
  0.9984000000000000E-02  0.9163821055347084E-02  0.2706613683907980E+01
  0.1397600000000000E-01  0.9163686707979337E-02  0.2702939663360335E+01
  0.1796800000000000E-01  0.9163507595160721E-02  0.2698049797729738E+01
  0.2196000000000000E-01  0.9163283718217733E-02  0.2691951273478585E+01
  0.2595200000000000E-01  0.9163015079060538E-02  0.2684653038107560E+01
  0.2994400000000000E-01  0.9162701680243013E-02  0.2676165776939039E+01
  0.3393600000000000E-01  0.9162343524482419E-02  0.2666501885457203E+01
  0.3792800000000000E-01  0.9161940614841007E-02  0.2655675437306437E+01
  0.4192000000000000E-01  0.9161492954765947E-02  0.2643702148061834E+01
  0.4591200000000000E-01  0.9161000548265918E-02  0.2630599334933672E+01
  0.4990400000000000E-01  0.9160463400015188E-02  0.2616385872520008E+01
  0.5389600000000000E-01  0.9159881514149679E-02  0.2601082144818340E+01
