         #eta                     f1                      f12
  0.6127760000000000E+00  0.4314227670850324E-02  0.2288056703710898E-01
  0.6167680000000000E+00  0.4311826175923554E-02  0.2288063353583499E-01
  0.6207600000000000E+00  0.4309410249790850E-02  0.2287992179205648E-01
  0.6247520000000000E+00  0.4306979915699875E-02  0.2287843175839492E-01
  0.6287440000000000E+00  0.4304535197040549E-02  0.2287616359473336E-01
  0.6327360000000000E+00  0.4302076117397117E-02  0.2287311766538025E-01
  0.6367280000000000E+00  0.4299602700503151E-02  0.2286929453613817E-01
  0.6407200000000000E+00  0.4297114970222005E-02  0.2286469496979941E-01
  0.6447120000000000E+00  0.4294612950675680E-02  0.2285931992611031E-01
  0.6487039999999999E+00  0.4292096666012417E-02  0.2285317055520175E-01
  0.6526960000000001E+00  0.4289566140740979E-02  0.2284624819668091E-01
  0.6566880000000000E+00  0.4287021399395852E-02  0.2283855437527293E-01
  0.6606800000000000E+00  0.4284462466648449E-02  0.2283009079770837E-01
  0.6646720000000000E+00  0.4281889367409882E-02  0.2282085935042429E-01
  0.6686640000000000E+00  0.4279302126789693E-02  0.2281086209446115E-01
  0.6726560000000000E+00  0.4276700769992203E-02  0.2280010126362741E-01
  0.6766480000000000E+00  0.4274085322427308E-02  0.2278857926084266E-01
  0.6806400000000000E+00  0.4271455809693014E-02  0.2277629865394141E-01
  0.6846320000000000E+00  0.4268812257473553E-02  0.2276326217356561E-01
  0.6886240000000000E+00  0.4266154691680901E-02  0.2274947270868670E-01
  0.6926160000000000E+00  0.4263483138396269E-02  0.2273493330392544E-01
  0.6966080000000000E+00  0.4260797623819368E-02  0.2271964715593907E-01
  0.7006000000000000E+00  0.4258098174430236E-02  0.2270361760983371E-01
