          #r                      rho1                    rho2
  0.1976080000000000E+00  0.0000000000000000E+00  0.1446991658409568E+01
  0.2016000000000000E+00  0.0000000000000000E+00  0.1414277718956721E+01
  0.2055920000000000E+00  0.0000000000000000E+00  0.1382334352158137E+01
  0.2095840000000000E+00  0.0000000000000000E+00  0.1351142543423601E+01
  0.2135760000000000E+00  0.0000000000000000E+00  0.1320683772577273E+01
  0.2175680000000000E+00  0.0000000000000000E+00  0.1290940002201924E+01
  0.2215600000000000E+00  0.0000000000000000E+00  0.1261893664997018E+01
  0.2255520000000000E+00  0.0000000000000000E+00  0.1233527650614164E+01
  0.2295440000000000E+00  0.0000000000000000E+00  0.1205825292348220E+01
  0.2335360000000000E+00  0.0000000000000000E+00  0.1178770353985864E+01
  0.2375280000000000E+00  0.0000000000000000E+00  0.1152347016999059E+01
  0.2415200000000000E+00  0.0000000000000000E+00  0.1126539868243924E+01
  0.2455120000000000E+00  0.0000000000000000E+00  0.1101333888212364E+01
  0.2495040000000000E+00  0.0000000000000000E+00  0.1076714439877103E+01
  0.2534960000000000E+00  0.0000000000000000E+00  0.1052667258125600E+01
  0.2574880000000000E+00  0.0000000000000000E+00  0.1029178439731491E+01
  0.2614800000000000E+00  0.0000000000000000E+00  0.1006234433821855E+01
  0.2654720000000000E+00  0.0000000000000000E+00  0.9838220327858688E+00
  0.2694640000000000E+00  0.0000000000000000E+00  0.9619283635511783E+00
  0.2734560000000000E+00  0.0000000000000000E+00  0.9405408791811590E+00
  0.2774480000000000E+00  0.0000000000000000E+00  0.9196473507269521E+00
  0.2814400000000000E+00  0.0000000000000000E+00  0.8992358593049706E+00
  0.2854320000000000E+00  0.0000000000000000E+00  0.8792947883451205E+00
  0.2894240000000000E+00  0.0000000000000000E+00  0.8598128159908877E+00
  0.2934160000000000E+00  0.0000000000000000E+00  0.8407789076387596E+00
  0.2974080000000000E+00  0.0000000000000000E+00  0.8221823085795185E+00
  0.3014000000000000E+00  0.0000000000000000E+00  0.8040125367659551E+00
  0.3053920000000000E+00  0.0000000000000000E+00  0.7862593756820667E+00
  0.3093840000000000E+00  0.0000000000000000E+00  0.7689128673262550E+00
  0.3133760000000000E+00  0.0000000000000000E+00  0.7519633053176200E+00
  0.3173680000000000E+00  0.0000000000000000E+00  0.7354012281244380E+00
  0.3213600000000000E+00  0.0000000000000000E+00  0.7192174124231260E+00
  0.3253520000000000E+00  0.0000000000000000E+00  0.7034028666061213E+00
  0.3293440000000000E+00  0.0000000000000000E+00  0.6879488244362975E+00
  0.3333360000000000E+00  0.0000000000000000E+00  0.6728467388528946E+00
  0.3373280000000000E+00  0.0000000000000000E+00  0.6580882759469139E+00
  0.3413200000000000E+00  0.0000000000000000E+00  0.6436653090958799E+00
  0.3453120000000000E+00  0.0000000000000000E+00  0.6295699132667517E+00
  0.3493040000000000E+00  0.0000000000000000E+00  0.6157943594940285E+00
  0.3532960000000000E+00  0.0000000000000000E+00  0.6023311095210685E+00
  0.3572880000000000E+00  0.0000000000000000E+00  0.5891728106099592E+00
  0.3612800000000000E+00  0.0000000000000000E+00  0.5763122905200481E+00
  0.3652720000000000E+00  0.0000000000000000E+00  0.5637425526486576E+00
  0.3692640000000000E+00  0.0000000000000000E+00  0.5514567713286063E+00
  0.3732560000000000E+00  0.0000000000000000E+00  0.5394482872825037E+00
  0.3772480000000000E+00  0.0000000000000000E+00  0.5277106032227495E+00
  0.3812400000000000E+00  0.0000000000000000E+00  0.5162373796047118E+00
  0.3852320000000000E+00  0.0000000000000000E+00  0.5050224305072852E+00
  0.3892240000000000E+00  0.0000000000000000E+00  0.4940597196585064E+00
  0.3932160000000000E+00  0.0000000000000000E+00  0.4833433565854612E+00
  0.3972080000000000E+00  0.0000000000000000E+00  0.4728675928831609E+00
  0.4012000000000000E+00  0.0000000000000000E+00  0.4626268186136926E+00
  0.4051920000000000E+00  0.0000000000000000E+00  0.4526155588047314E+00
  0.4091840000000000E+00  0.0000000000000000E+00  0.4428284700680341E+00
  0.4131760000000000E+00  0.0000000000000000E+00  0.4332603373153200E+00
  0.4171680000000000E+00  0.0000000000000000E+00  0.4239060705723847E+00
  0.4211600000000000E+00  0.0000000000000000E+00  0.4147607018960784E+00
  0.4251520000000000E+00  0.0000000000000000E+00  0.4058193823716098E+00
  0.4291440000000000E+00  0.0000000000000000E+00  0.3970773792037043E+00
  0.4331360000000000E+00  0.0000000000000000E+00  0.3885300728888836E+00
  0.4371280000000000E+00  0.0000000000000000E+00  0.3801729544625871E+00
  0.4411200000000000E+00  0.0000000000000000E+00  0.3720016228321891E+00
  0.4451120000000000E+00  0.0000000000000000E+00  0.3640117821697828E+00
  0.4491040000000000E+00  0.0000000000000000E+00  0.3561992393825939E+00
  0.4530960000000000E+00  0.0000000000000000E+00  0.3485599016499918E+00
  0.4570880000000000E+00  0.0000000000000000E+00  0.3410897740174406E+00
  0.4610800000000000E+00  0.0000000000000000E+00  0.3337849570563947E+00
  0.4650720000000000E+00  0.0000000000000000E+00  0.3266416445821380E+00
  0.4690640000000000E+00  0.0000000000000000E+00  0.3196561214241432E+00
  0.4730560000000000E+00  0.0000000000000000E+00  0.3128247612560824E+00
  0.4770480000000000E+00  0.0000000000000000E+00  0.3061440244695130E+00
  0.4810400000000000E+00  0.0000000000000000E+00  0.2996104561012487E+00
  0.4850320000000000E+00  0.0000000000000000E+00  0.2932206838132257E+00
  0.4890240000000000E+00  0.0000000000000000E+00  0.2869714159080369E+00
  0.4930160000000000E+00  0.0000000000000000E+00  0.2808594393973441E+00
  0.4970080000000000E+00  0.0000000000000000E+00  0.2748816181106169E+00
  0.5010000000000000E+00  0.0000000000000000E+00  0.2690348908444402E+00
  0.5049920000000000E+00  0.0000000000000000E+00  0.2633162695565747E+00
  0.5089840000000000E+00  0.0000000000000000E+00  0.2577228375930301E+00
  0.5129760000000000E+00  0.0000000000000000E+00  0.2522517479604585E+00
  0.5169680000000000E+00  0.0000000000000000E+00  0.2469002216328260E+00
  0.5209600000000000E+00  0.0000000000000000E+00  0.2416655458934359E+00
  0.5249520000000000E+00  0.0000000000000000E+00  0.2365450727148251E+00
  0.5289440000000000E+00  0.0000000000000000E+00  0.2315362171778309E+00
  0.5329360000000000E+00  0.0000000000000000E+00  0.2266364559183624E+00
  0.5369280000000000E+00  0.0000000000000000E+00  0.2218433256100584E+00
  0.5409200000000000E+00  0.0000000000000000E+00  0.2171544214866898E+00
  0.5449120000000000E+00  0.0000000000000000E+00  0.2125673958885225E+00
  0.5489039999999999E+00  0.0000000000000000E+00  0.2080799568489796E+00
  0.5528960000000001E+00  0.0000000000000000E+00  0.2036898667096434E+00
  0.5568880000000000E+00  0.0000000000000000E+00  0.1993949407666680E+00
  0.5608800000000000E+00  0.0000000000000000E+00  0.1951930459517156E+00
  0.5648720000000000E+00  0.0000000000000000E+00  0.1910820995397711E+00
  0.5688640000000000E+00  0.0000000000000000E+00  0.1870600678918824E+00
  0.5728560000000000E+00  0.0000000000000000E+00  0.1831249652238949E+00
  0.5768480000000000E+00  0.0000000000000000E+00  0.1792748524057283E+00
  0.5808400000000000E+00  0.0000000000000000E+00  0.1755078357967032E+00
  0.5848320000000000E+00  0.0000000000000000E+00  0.1718220660969762E+00
  0.5888240000000000E+00  0.0000000000000000E+00  0.1682157372397205E+00
  0.5928160000000000E+00  0.0000000000000000E+00  0.1646870853043936E+00
  0.5968080000000000E+00  0.0000000000000000E+00  0.1612343874589222E+00
  0.6008000000000000E+00  0.0000000000000000E+00  0.1578559609336979E+00
  0.6047920000000000E+00  0.0000000000000000E+00  0.1545501620113529E+00
  0.6087840000000000E+00  0.0000000000000000E+00  0.1513153850555889E+00
  0.6127760000000000E+00  0.0000000000000000E+00  0.1481500615581706E+00
  0.6167680000000000E+00  0.0000000000000000E+00  0.1450526592119405E+00
  0.6207600000000000E+00  0.0000000000000000E+00  0.1420216810091818E+00
  0.6247520000000000E+00  0.0000000000000000E+00  0.1390556643654867E+00
  0.6287440000000000E+00  0.0000000000000000E+00  0.1361531802648515E+00
  0.6327360000000000E+00  0.0000000000000000E+00  0.1333128324324354E+00
  0.6367280000000000E+00  0.0000000000000000E+00  0.1305332565206700E+00
  0.6407200000000000E+00  0.0000000000000000E+00  0.1278131193278966E+00
  0.6447120000000000E+00  0.0000000000000000E+00  0.1251511180334486E+00
  0.6487039999999999E+00  0.0000000000000000E+00  0.1225459794533285E+00
  0.6526960000000001E+00  0.0000000000000000E+00  0.1199964593152843E+00
  0.6566880000000000E+00  0.0000000000000000E+00  0.1175013415586553E+00
  0.6606800000000000E+00  0.0000000000000000E+00  0.1150594376486929E+00
  0.6646720000000000E+00  0.0000000000000000E+00  0.1126695859112825E+00
  0.6686640000000000E+00  0.0000000000000000E+00  0.1103306508853012E+00
  0.6726560000000000E+00  0.0000000000000000E+00  0.1080415226945757E+00
  0.6766480000000000E+00  0.0000000000000000E+00  0.1058011164341632E+00
  0.6806400000000000E+00  0.0000000000000000E+00  0.1036083715759191E+00
  0.6846320000000000E+00  0.0000000000000000E+00  0.1014622513869548E+00
  0.6886240000000000E+00  0.0000000000000000E+00  0.9936174236777084E-01
  0.6926160000000000E+00  0.0000000000000000E+00  0.9730585370293394E-01
  0.6966080000000000E+00  0.0000000000000000E+00  0.9529361672690169E-01
  0.7006000000000000E+00  0.0000000000000000E+00  0.9332408440231917E-01
