          #r                      rho1                    rho2
  0.5456000000000000E+02  0.0000000000000000E+00  0.9150003006771616E-48
  0.5464000000000000E+02  0.0000000000000000E+00  0.6994040759108405E-48
  0.5472000000000000E+02  0.0000000000000000E+00  0.5343971116725745E-48
  0.5480000000000000E+02  0.0000000000000000E+00  0.4081587080490506E-48
  0.5488000000000000E+02  0.0000000000000000E+00  0.3116183704148045E-48
  0.5496000000000000E+02  0.0000000000000000E+00  0.2378187317747418E-48
  0.5504000000000000E+02  0.0000000000000000E+00  0.1814253988890808E-48
  0.5512000000000000E+02  0.0000000000000000E+00  0.1383499911054122E-48
  0.5520000000000000E+02  0.0000000000000000E+00  0.1054603493464143E-48
  0.5528000000000000E+02  0.0000000000000000E+00  0.8035784783630946E-49
  0.5536000000000000E+02  0.0000000000000000E+00  0.6120633982345523E-49
  0.5544000000000000E+02  0.0000000000000000E+00  0.4660081828006715E-49
  0.5552000000000000E+02  0.0000000000000000E+00  0.3546661146665769E-49
  0.5560000000000000E+02  0.0000000000000000E+00  0.2698204567132586E-49
  0.5568000000000000E+02  0.0000000000000000E+00  0.2051913599927082E-49
  0.5576000000000000E+02  0.0000000000000000E+00  0.1559812110753061E-49
  0.5584000000000000E+02  0.0000000000000000E+00  0.1185262453556526E-49
  0.5592000000000000E+02  0.0000000000000000E+00  0.9002969678116445E-50
  0.5600000000000000E+02  0.0000000000000000E+00  0.6835748390619506E-50
  0.5608000000000000E+02  0.0000000000000000E+00  0.5188184017093495E-50
  0.5616000000000000E+02  0.0000000000000000E+00  0.3936168623957150E-50
  0.5624000000000000E+02  0.0000000000000000E+00  0.2985114816178521E-50
  0.5632000000000000E+02  0.0000000000000000E+00  0.2262962754073843E-50
  0.5640000000000000E+02  0.0000000000000000E+00  0.1714836793350852E-50
  0.5648000000000000E+02  0.0000000000000000E+00  0.1298964258233313E-50
  0.5656000000000000E+02  0.0000000000000000E+00  0.9835594847293760E-51
  0.5664000000000000E+02  0.0000000000000000E+00  0.7444457952427631E-51
  0.5672000000000000E+02  0.0000000000000000E+00  0.5632413787955327E-51
  0.5680000000000000E+02  0.0000000000000000E+00  0.4259759162761112E-51
  0.5688000000000000E+02  0.0000000000000000E+00  0.3220361008875826E-51
  0.5696000000000000E+02  0.0000000000000000E+00  0.2433621843205497E-51
  0.5704000000000000E+02  0.0000000000000000E+00  0.1838360377382955E-51
  0.5712000000000000E+02  0.0000000000000000E+00  0.1388152655903238E-51
  0.5720000000000000E+02  0.0000000000000000E+00  0.1047786568204702E-51
  0.5728000000000000E+02  0.0000000000000000E+00  0.7905647509308497E-52
  0.5736000000000000E+02  0.0000000000000000E+00  0.5962537002690773E-52
  0.5744000000000000E+02  0.0000000000000000E+00  0.4495248958979228E-52
  0.5752000000000000E+02  0.0000000000000000E+00  0.3387703806979263E-52
  0.5760000000000000E+02  0.0000000000000000E+00  0.2552032121274628E-52
  0.5768000000000000E+02  0.0000000000000000E+00  0.1921745450791661E-52
  0.5776000000000000E+02  0.0000000000000000E+00  0.1446553858714691E-52
  0.5784000000000000E+02  0.0000000000000000E+00  0.1088434691981035E-52
  0.5792000000000000E+02  0.0000000000000000E+00  0.8186516932863423E-53
  0.5800000000000000E+02  0.0000000000000000E+00  0.6154956307328179E-53
  0.5808000000000000E+02  0.0000000000000000E+00  0.4625724946656810E-53
  0.5816000000000000E+02  0.0000000000000000E+00  0.3475070802215805E-53
  0.5824000000000000E+02  0.0000000000000000E+00  0.2609615545246976E-53
  0.5832000000000000E+02  0.0000000000000000E+00  0.1958927780325525E-53
  0.5840000000000000E+02  0.0000000000000000E+00  0.1469905248942988E-53
  0.5848000000000000E+02  0.0000000000000000E+00  0.1102527110815409E-53
  0.5856000000000000E+02  0.0000000000000000E+00  0.8266434621224013E-54
  0.5864000000000000E+02  0.0000000000000000E+00  0.6195497902207775E-54
  0.5872000000000000E+02  0.0000000000000000E+00  0.4641551936910498E-54
  0.5880000000000000E+02  0.0000000000000000E+00  0.3475995740860937E-54
  0.5888000000000000E+02  0.0000000000000000E+00  0.2602101769495149E-54
  0.5896000000000000E+02  0.0000000000000000E+00  0.1947145214302124E-54
  0.5904000000000000E+02  0.0000000000000000E+00  0.1456469606519495E-54
  0.5912000000000000E+02  0.0000000000000000E+00  0.1089014173309827E-54
  0.5920000000000000E+02  0.0000000000000000E+00  0.8139442490689435E-55
  0.5928000000000000E+02  0.0000000000000000E+00  0.6081137272902079E-55
  0.5936000000000000E+02  0.0000000000000000E+00  0.4541548707772023E-55
  0.5944000000000000E+02  0.0000000000000000E+00  0.3390409581381171E-55
  0.5952000000000000E+02  0.0000000000000000E+00  0.2530051597505378E-55
  0.5960000000000000E+02  0.0000000000000000E+00  0.1887276841851651E-55
  0.5968000000000000E+02  0.0000000000000000E+00  0.1407248727562331E-55
  0.5976000000000000E+02  0.0000000000000000E+00  0.1048902545988257E-55
  0.5984000000000000E+02  0.0000000000000000E+00  0.7814990161997181E-56
  0.5992000000000000E+02  0.0000000000000000E+00  0.5820372134746102E-56
  0.6000000000000000E+02  0.0000000000000000E+00  0.4333133716756954E-56
  0.6008000000000000E+02  0.0000000000000000E+00  0.3224649012479471E-56
  0.6016000000000000E+02  0.0000000000000000E+00  0.2398787799530641E-56
  0.6024000000000000E+02  0.0000000000000000E+00  0.1783734585409342E-56
  0.6032000000000000E+02  0.0000000000000000E+00  0.1325859961672610E-56
  0.6040000000000000E+02  0.0000000000000000E+00  0.9851312595195219E-57
  0.6048000000000000E+02  0.0000000000000000E+00  0.7316772726858832E-57
  0.6056000000000000E+02  0.0000000000000000E+00  0.5432178740514588E-57
  0.6064000000000000E+02  0.0000000000000000E+00  0.4031415479162754E-57
  0.6072000000000000E+02  0.0000000000000000E+00  0.2990680972397524E-57
  0.6080000000000000E+02  0.0000000000000000E+00  0.2217745145945163E-57
  0.6088000000000000E+02  0.0000000000000000E+00  0.1643925788109469E-57
  0.6096000000000000E+02  0.0000000000000000E+00  0.1218096794380395E-57
  0.6104000000000000E+02  0.0000000000000000E+00  0.9022157689712139E-58
  0.6112000000000000E+02  0.0000000000000000E+00  0.6679870572210717E-58
  0.6120000000000000E+02  0.0000000000000000E+00  0.4943729536831855E-58
  0.6128000000000000E+02  0.0000000000000000E+00  0.3657382476986854E-58
  0.6136000000000000E+02  0.0000000000000000E+00  0.2704674942567112E-58
  0.6144000000000000E+02  0.0000000000000000E+00  0.1999349859042699E-58
  0.6152000000000000E+02  0.0000000000000000E+00  0.1477377689969367E-58
  0.6160000000000000E+02  0.0000000000000000E+00  0.1091247589945347E-58
  0.6168000000000000E+02  0.0000000000000000E+00  0.8057198808821072E-59
  0.6176000000000000E+02  0.0000000000000000E+00  0.5946670609727965E-59
  0.6184000000000000E+02  0.0000000000000000E+00  0.4387253285362280E-59
  0.6192000000000000E+02  0.0000000000000000E+00  0.3235493663172876E-59
  0.6200000000000000E+02  0.0000000000000000E+00  0.2385159467140366E-59
  0.6208000000000000E+02  0.0000000000000000E+00  0.1757613211635017E-59
  0.6216000000000000E+02  0.0000000000000000E+00  0.1294667415076614E-59
  0.6224000000000000E+02  0.0000000000000000E+00  0.9532836575791717E-60
  0.6232000000000000E+02  0.0000000000000000E+00  0.7016412268505435E-60
  0.6240000000000000E+02  0.0000000000000000E+00  0.5162226689211256E-60
  0.6248000000000000E+02  0.0000000000000000E+00  0.3796540748361688E-60
  0.6256000000000000E+02  0.0000000000000000E+00  0.2791052979963725E-60
  0.6264000000000000E+02  0.0000000000000000E+00  0.2051054102801760E-60
  0.6272000000000000E+02  0.0000000000000000E+00  0.1506659705307922E-60
  0.6280000000000000E+02  0.0000000000000000E+00  0.1106323790876251E-60
  0.6288000000000000E+02  0.0000000000000000E+00  0.8120417363455295E-61
  0.6296000000000000E+02  0.0000000000000000E+00  0.5958040783825137E-61
  0.6304000000000000E+02  0.0000000000000000E+00  0.4369760286751681E-61
  0.6312000000000000E+02  0.0000000000000000E+00  0.3203618376859026E-61
  0.6320000000000000E+02  0.0000000000000000E+00  0.2347756005894507E-61
  0.6328000000000000E+02  0.0000000000000000E+00  0.1719864234981954E-61
  0.6336000000000000E+02  0.0000000000000000E+00  0.1259402037494554E-61
  0.6344000000000000E+02  0.0000000000000000E+00  0.9218571723312337E-62
  0.6352000000000000E+02  0.0000000000000000E+00  0.6745154589109703E-62
  0.6360000000000000E+02  0.0000000000000000E+00  0.4933432576183625E-62
  0.6368000000000000E+02  0.0000000000000000E+00  0.3606911678747904E-62
  0.6376000000000000E+02  0.0000000000000000E+00  0.2636032982893771E-62
  0.6384000000000000E+02  0.0000000000000000E+00  0.1925729099771195E-62
  0.6392000000000000E+02  0.0000000000000000E+00  0.1406269531452145E-62
  0.6400000000000000E+02  0.0000000000000000E+00  0.1026528384973240E-62
